hard_skill,soft_skill,label,candidate_field
"['cloud infrastructure', 'cyber security', 'disaster recovery', 'saas', 'sales', 'security', 'service', 'track']","['infrastructure', 'research']",0,sales
"['application', 'branding', 'brochures', 'business', 'communication strategies', 'dissemination', 'internal communications', 'material', 'maternity', 'oil and gas', 'public relations', 'service', 'standard']","['communications', 'creativity', 'customer service', 'management', 'microsoft office', 'operations', 'social media', 'teamwork', 'written communication']",0,marketing
"['business', 'career development', 'organic growth', 'sales', 'service', 'track', 'trading']",[],0,sales
"['computing', 'infection', 'infection control', 'standard']","['coordinating', 'typing']",0,healthcare & medical
"['go', 'medicare', 'service', 'excel']",['scheduling'],0,administration & office support
"['career development', 'registration', 'resourcing']",[],0,healthcare & medical
"['brand management', 'brand marketing', 'budgeting', 'business', 'life sciences', 'market analysis', 'market research', 'medical', 'medical communications', 'neurology', 'pharmaceutical', 'sales', 'scheme', 'strategic planning']","['communications', 'management', 'planning', 'research']",0,healthcare & medical
"['application', 'community health', 'drawing', 'healthcare services', 'medical', 'mental health', 'rehabilitation', 'service', 'stakeholder management']","['management', 'mentorship', 'negotiation', 'written communication']",0,healthcare & medical
"['building management', 'building management systems', 'cctv', 'crystal reports', 'database queries', 'electrical', 'electronics', 'hvac', 'management systems', 'reporting tools', 'security', 'service', 'standard', 'urbanization']","['management', 'written communication']",1,telecomunication
"['acute care', 'child protection', 'cultural diversity', 'diversity and inclusion', 'go', 'infection', 'infection control', 'manual handling', 'nursing', 'pathology', 'protocol', 'remuneration', 'requisition', 'testing', 'vaccination', 'working with children']","['management', 'time management', 'written communication']",0,healthcare & medical
"['business', 'device', 'education program', 'gross profit', 'medical', 'pharmaceutical', 'sales']","['management', 'planning']",0,healthcare & medical
"['complexity', 'service']",[],0,retail & consumer products
"['application', 'financial services', 'service']",['customer service'],0,accounting
"['business', 'business development', 'closing', 'customer experience', 'landscape', 'project management', 'sales', 'system']","['leadership', 'management']",0,sales
"['booking', 'sales', 'service']","['customer service', 'enthusiasm', 'meeting', 'willingness to learn']",0,administration & office support
"['application', 'bridges', 'hygiene', 'implant', 'registration', 'remuneration', 'service']",['customer service'],0,healthcare & medical
"['accounts payable', 'business', 'finance']",[],0,accounting
"['customer experience', 'operational excellence', 'safety standards', 'sales', 'service']","['customer service', 'leadership', 'operations']",0,retail & consumer products
"['business', 'business strategies', 'computers', 'inventory', 'inventory management', 'order processing', 'registration', 'service']","['business acumen', 'customer service', 'leadership', 'management', 'operations']",0,healthcare & medical
"['closing', 'data', 'inventory', 'reduction', 'service', 'excel']","['computer literacy', 'customer service', 'data entry', 'literacy', 'management', 'planning', 'timelines', 'verbal communication skills']",0,administration & office support
"['acting', 'data', 'finance', 'sales', 'system', 'travel insurance', 'xero']","['data entry', 'willingness to learn']",0,accounting
"['business', 'business to business', 'cloud infrastructure', 'positioning', 'sales']","['accountability', 'infrastructure', 'microsoft word', 'negotiation', 'self starter']",0,sales
"['booking', 'business', 'career management', 'manufacturing', 'probation', 'sales', 'testing', 'trades']","['infrastructure', 'management']",0,sales
"['active directory', 'application', 'automation', 'business', 'change management', 'hosting', 'performance management', 'scripting', 'security', 'security engineering', 'server', 'service', 'service management', 'solution delivery', 'system', 'technical assistance', 'windows']","['integration', 'management', 'operations']",1,telecomunication
"['business', 'financial analysis', 'milestones', 'pmo', 'transformation']","['governance', 'management', 'meeting', 'scheduling']",1,telecomunication
"['corporate services', 'finance', 'financial management', 'management accounting', 'remuneration']","['collaboration', 'management']",0,healthcare & medical
"['application', 'business', 'sales']",[],0,accounting
"['accruals', 'balance sheet', 'closing', 'finance', 'interim management', 'journals', 'standard', 'variance analysis']",['management'],0,accounting
"['audio', 'billing', 'eftpos', 'medical', 'ophthalmology', 'remuneration', 'system', 'tests']","['management', 'scheduling', 'typing']",0,healthcare & medical
"['netbackup', 'pmo', 'server', 'storage systems', 'subsystems', 'azure']","['engagement skills', 'infrastructure']",1,telecomunication
"['business', 'chemical', 'crm', 'crm software', 'customer satisfaction', 'kpis', 'relationship building', 'sales', 'tiling', 'trades', 'vehicle']",[],0,sales
"['business', 'finance', 'publishing']","['management', 'microsoft office']",0,administration & office support
"['account management', 'business', 'his', 'onboarding', 'service']","['customer service', 'management', 'quality assurance']",0,sales
"['act', 'automation', 'crm', 'data', 'digital', 'mailchimp', 'newsletters', 'sales', 'wordpress', 'excel']","['infrastructure', 'microsoft excel', 'research', 'writing']",0,administration & office support
['service'],"['customer service', 'management', 'microsoft office', 'time management']",0,administration & office support
"['business', 'business model', 'data', 'electronics', 'maternity', 'renovation', 'rolling', 'sales', 'social media campaigns', 'vista']","['planning', 'presentations', 'research', 'social media']",0,marketing
"['account development', 'business', 'consultative selling', 'email marketing', 'saas', 'sales', 'sales development', 'selling techniques']",['achievement oriented'],0,sales
"['data', 'system', 'databases']","['coordinating', 'management']",0,administration & office support
"['analytics', 'angular', 'backend', 'business', 'data', 'devops', 'dotnet', 'full stack', 'javascript', 'javascript frameworks', 'microservices', 'react', 'service', 'aws']",['operations'],1,telecomunication
"['act', 'child protection', 'data', 'reconciliation', 'working with children']","['data entry', 'management']",0,administration & office support
"['business', 'customer experience', 'maternity', 'merchandising', 'sales', 'stock control', 'visual merchandising']","['management', 'time management']",0,retail & consumer products
"['analytics', 'application', 'application development', 'business', 'data', 'relational databases', 'sql', 'databases']","['collaboration', 'consulting', 'information technology']",1,telecomunication
"['booking', 'manufacturing', 'multitasking', 'registration']","['coordinating', 'management', 'written communication']",0,administration & office support
"['application', 'cash handling', 'eftpos', 'safety standards', 'sales', 'service', 'sustainability']",['customer service'],0,retail & consumer products
"['business', 'credit control', 'finance', 'petty cash', 'reconciliation', 'sage 50', 'sales', 'trading', 'excel']",[],0,accounting
"['internetworking', 'stakeholder communications', 'vpn']","['communications', 'infrastructure']",1,telecomunication
"['business', 'plumbing', 'sales', 'service']","['confident communicator', 'customer service', 'enthusiasm', 'retail sales', 'training and development']",0,sales
['service'],"['cleanliness', 'customer service']",0,administration & office support
"['brand management', 'business', 'go', 'gtm', 'milestones', 'product marketing', 'project management', 'stakeholder management', 'standard']","['management', 'planning']",0,marketing
"['advising', 'automotive', 'catalogues', 'manufacturing', 'remuneration', 'sales', 'service', 'wholesaling']","['consulting', 'customer service', 'filing']",0,sales
"['application', 'booking', 'closing', 'ecology', 'international communications', 'physiology', 'remuneration', 'databases']","['communications', 'microsoft office', 'research']",0,administration & office support
"['advising', 'application', 'business', 'career development', 'computer systems', 'financial planning', 'sales', 'service']","['customer service', 'leadership', 'management', 'planning', 'team leadership']",0,retail & consumer products
"['apache camel', 'api', 'application', 'business', 'cloudhub', 'devops', 'docker', 'fuse esb', 'gcp', 'iac', 'integration platform', 'investing', 'java', 'jboss', 'kubernetes', 'mulesoft', 'paas', 'performance testing', 'saas', 'scale', 'security', 'service', 'service-oriented architecture', 'stakeholder management', 'system', 'testing', 'aws', 'azure']","['innovation', 'integration', 'management']",1,telecomunication
"['act', 'application', 'bitly', 'nursing', 'remuneration', 'requisition', 'service', 'vaccination']",[],0,healthcare & medical
"['career development', 'personal care']",['management'],0,healthcare & medical
"['accounts receivable', 'collections', 'credit control', 'credit management', 'finance', 'excel']","['english', 'management', 'microsoft excel', 'negotiation']",0,accounting
"['interventional radiology', 'medicine', 'nuclear medicine', 'pain management', 'radiology', 'service', 'sonographer', 'ultrasound']",['management'],0,healthcare & medical
"['go', 'remuneration', 'sales']","['management', 'training and development']",0,retail & consumer products
"['application', 'clinical nursing', 'employee benefits', 'inpatient care', 'medical', 'mental health', 'midwifery', 'nursing', 'registration', 'system']",[],0,healthcare & medical
"['ansible', 'application', 'automation', 'back-end', 'bash', 'business', 'diversity and inclusion', 'full-stack', 'java', 'linux', 'operational excellence', 'python', 'scripting', 'server-side', 'software development', 'test-driven development', 'windows', 'excel']","['creativity', 'critical thinking', 'innovation', 'operations', 'problem solving', 'willingness to learn']",1,telecomunication
"['agricultural machinery', 'computers', 'inquiry', 'sales', 'vehicle']",[],0,sales
"['credit control', 'ledgers', 'order processing', 'reconciliation', 'sales', 'sales order', 'statistics']",[],0,accounting
"['scheme', 'service']","['customer service', 'management']",0,retail & consumer products
"['acting', 'business', 'statutory reporting']",['management'],0,accounting
"['accruals', 'balance sheet', 'business', 'cash flow forecasting', 'finance', 'forecasting', 'his', 'journals', 'on-the-job training']",['management'],0,accounting
"['finance', 'invoice processing']",[],0,accounting
"['ansible', 'apache cassandra', 'application', 'automation', 'back-end', 'business', 'business requirements', 'data', 'data integration', 'database application', 'database design', 'database development', 'linux', 'liquibase', 'mobile', 'mongodb', 'nosql', 'oracle', 'perspective', 'pl sql', 'scripting', 'server', 'sql', 'stored procedure', 'tooling']","['infrastructure', 'innovation', 'integration', 'operations']",1,telecomunication
"['application', 'data', 'e-commerce', 'service', 'ses', 'stock management', 'web design']","['customer service', 'english', 'management', 'research', 'social media']",0,marketing
"['application', 'business', 'business process', 'business process management', 'business process mapping', 'career development', 'digital', 'jira', 'mapping', 'process management', 'standard', 'technology solutions']","['creativity', 'information technology', 'management']",1,telecomunication
"['application', 'business', 'design management', 'mitigation', 'process design', 'process improvements', 'system', 'system requirements', 'user experience']","['business operations', 'decision making', 'management', 'operations', 'planning']",1,telecomunication
"['ai', 'ansible', 'application', 'automation', 'automation software', 'aws cli', 'back end', 'bash', 'business', 'chef', 'cli', 'cloud infrastructure', 'devops', 'digital', 'digital transformation', 'dotnet', 'iam', 'jenkins', 'networking', 'pci', 'public transport', 'puppet', 'python', 'remuneration', 'scalability', 'scale', 'scripting', 'security', 'server', 'sql', 'staging', 'transformation', 'vpc', 'vpn', 'windows', 'aws']","['infrastructure', 'management']",1,telecomunication
"['go', 'stakeholder management']","['communications', 'management', 'planning', 'writing']",0,administration & office support
"['broadband', 'customer experience', 'employee engagement', 'event management', 'project management', 'sales', 'unity', 'excel']","['accountability', 'agenda', 'innovation', 'management', 'meeting', 'numbers', 'planning', 'presentations', 'scheduling']",0,administration & office support
"['application', 'nursing', 'sterilization', 'tracking', 'windows']",['professionalism'],0,healthcare & medical
"['active directory', 'application', 'aviation', 'business', 'contact centre', 'device', 'device management', 'facility management', 'incident management', 'mobile', 'mobile device management', 'networking', 'process improvements', 'service', 'service desk', 'tcp', 'tcp ip', 'wan technologies', 'windows']","['management', 'microsoft office', 'research']",1,telecomunication
"['disabilities', 'installation', 'primavera', 'project engineering', 'service', 'testing', 'work order', 'excel']","['coordinating', 'decision making', 'management', 'planning', 'relationship management', 'scheduling', 'timelines']",1,telecomunication
"['angular', 'application', 'application development', 'business', 'career development', 'continuous integration', 'database design', 'hibernate', 'javascript', 'python', 'react', 'scrum', 'server', 'sql', 'stored procedure', 'ui', 'web application', 'web application development', 'web design', 'aws']",['integration'],1,telecomunication
"['automotive', 'automotive industry', 'booking', 'customer satisfaction', 'indicators', 'key performance indicators', 'sales', 'service']","['communications', 'customer service', 'management']",0,administration & office support
"['account management', 'business', 'inventory', 'manufacturing', 'public transport', 'rolling', 'sales', 'service', 'shipping', 'trading', 'wholesaling', 'excel']","['customer service', 'influencing skills', 'management', 'operations', 'planning']",0,administration & office support
"['data', 'data cleansing', 'data extraction', 'direct marketing', 'fundraising']","['critical thinking', 'research', 'written communication']",0,marketing
"['business', 'business development', 'expense management', 'haccp', 'inventory', 'remuneration', 'revenue growth', 'sales', 'service', 'transformation', 'warehousing']","['accountability', 'customer service', 'leadership', 'management', 'operations', 'people management']",0,retail & consumer products
"['application', 'psychology', 'excel']","['management', 'microsoft word', 'research', 'telephone skills', 'time management']",0,administration & office support
"['application', 'business', 'profitable growth', 'project management', 'relationship building', 'sales', 'service', 'stakeholder management', 'track']","['customer service', 'innovation', 'management', 'negotiation', 'problem solving', 'strategic thinking']",0,sales
['cpr'],['first aid'],0,sport & recreation
"['application', 'architectural design', 'automation', 'big data', 'business', 'continuous delivery', 'continuous integration', 'data', 'iaas', 'microservices', 'paas', 'saas', 'aws']","['infrastructure', 'integration']",1,telecomunication
"['accounts payable', 'acting', 'business', 'finance']",[],0,accounting
"['event planning', 'software suite']","['communications', 'management', 'planning']",0,administration & office support
"['sales', 'vehicle']",[],0,sales
"['autocad', 'drawing', 'experience design', 'flooring', 'manufacturing', 'sales']",[],0,sales
"['data', 'sales', 'sales administration', 'security', 'service']","['customer service', 'data entry']",0,administration & office support
"['analytical thinking', 'data', 'data collection', 'data management', 'managing client expectations', 'market research', 'policy research', 'project management', 'quantitative research', 'questionnaire design', 'sampling', 'sas', 'service', 'social policy', 'social research', 'spss', 'stata', 'statistical software', 'survey research']","['consulting', 'decision making', 'empathy', 'management', 'microsoft office', 'planning', 'preparedness', 'research']",0,marketing
"['customer experience', 'look and feel', 'sales']",[],0,retail & consumer products
"['c', 'cpr', 'health promotion', 'nursing', 'occupational health', 'registration', 'standard', 'testing']","['first aid', 'management']",0,healthcare & medical
"['business', 'business analysis', 'diversification', 'service']",[],1,telecomunication
"['business', 'career development', 'cosmeceutical', 'kpis', 'management training', 'sales', 'service', 'track']","['customer service', 'management', 'meeting', 'self-motivation']",0,retail & consumer products
"['analytics', 'big data', 'business', 'business intelligence', 'cloud computing', 'computing', 'data', 'data ingestion', 'data science', 'data warehousing', 'etl', 'information management', 'power bi', 'professional services', 'ssis', 'warehousing', 'azure', 'modelling']","['consulting', 'management', 'written communication']",1,telecomunication
"['application', 'css', 'digital', 'html', 'javascript', 'nodejs', 'reactjs', 'soap', 'web services']",[],1,telecomunication
"['application', 'biotechnology', 'business', 'clinical research', 'endocrinology', 'executive recruitment', 'market share', 'marketing management', 'medical', 'medicine', 'nursing', 'pharmaceutical', 'pharmacovigilance', 'relationship building', 'sales', 'service']","['business acumen', 'management', 'meeting', 'microsoft word', 'operations', 'research']",0,healthcare & medical
"['accruals', 'business', 'forecasting', 'manufacturing', 'trading']",['management'],0,accounting
"['application', 'service', 'supply chain', 'supply chain management', 'warehousing']","['management', 'troubleshooting']",0,administration & office support
"['application', 'medical', 'nursing', 'private hospital', 'registration', 'standard']",[],0,healthcare & medical
"['accounts payable', 'accruals', 'bank reconciliations', 'budgeting', 'business', 'international business', 'journals', 'petty cash', 'service', 'variance analysis', 'excel']","['management', 'planning', 'time management']",0,accounting
"['brand awareness', 'business', 'cms', 'communication strategies', 'digital', 'direct marketing', 'kpis', 'tracking']",['management'],0,marketing
"['go', 'sales', 'service']","['customer service', 'retail sales', 'unpacking']",0,retail & consumer products
"['application', 'business', 'competitive sales', 'data', 'medical', 'nursing', 'pharmaceutical', 'pharmaceutical sales', 'regional sales', 'relationship building', 'sales', 'sales management', 'service', 'statistics']","['leadership', 'management', 'negotiation']",0,healthcare & medical
"['business', 'psychology', 'registration']",[],0,healthcare & medical
"['auditing', 'business', 'mobility', 'scheme', 'service', 'tax']","['management', 'planning', 'training and development']",0,accounting
"['application', 'financial systems', 'imagine', 'taking meeting minutes', 'excel']","['filing', 'meeting', 'operations', 'planning', 'willingness to learn']",0,administration & office support
"['application', 'business', 'crm', 'customer value proposition', 'medical', 'mobile', 'regional sales', 'sales', 'value proposition', 'vehicle', 'windows']","['management', 'time management']",0,sales
"['business', 'cosmetics', 'data', 'job descriptions', 'public transport', 'service']","['customer service', 'data entry', 'management', 'microsoft office']",0,administration & office support
"['electricity', 'health information management', 'information management', 'medical', 'numeracy', 'primary health care', 'service']","['advocacy', 'innovation', 'leadership', 'literacy', 'management', 'planning', 'teaching']",0,healthcare & medical
"['business', 'encompass']","['management', 'mentorship', 'time management']",0,administration & office support
"['agility', 'application', 'automation', 'business', 'career development', 'electrical', 'electrical engineering', 'market share', 'remuneration', 'sales', 'service', 'system']","['management', 'time management']",0,sales
"['acute care', 'agriculture', 'application', 'audiometry', 'bitly', 'care planning', 'community health', 'health assessment', 'remuneration', 'requisition', 'service', 'vaccination']","['consulting', 'planning']",0,healthcare & medical
"['business', 'data', 'digital', 'digital marketing', 'fintech', 'kpis', 'regulatory requirements', 'sales', 'service', 'service delivery', 'value proposition']",['management'],0,sales
"['act', 'acting', 'finance', 'public transport', 'service', 'excel']",['customer service'],0,accounting
"['data', 'service', 'vehicle', 'excel']","['customer service', 'data entry', 'microsoft excel', 'operations']",0,administration & office support
"['active directory', 'application', 'catalogues', 'dhcp', 'group policy', 'imaging', 'operating systems', 'phone support', 'scripting', 'security', 'security administration', 'server', 'service', 'service desk', 'user accounts', 'vpn', 'windows', 'workplace safety', 'databases']","['customer service', 'management', 'microsoft office', 'microsoft windows', 'troubleshooting']",1,telecomunication
"['agile software development', 'application', 'business', 'business requirements', 'data', 'data extraction', 'executable', 'process improvements', 'software development', 'software development methodologies', 'software systems', 'specflow', 'system', 'system requirements', 'systems analysis', 'testing', 'transformation', 'web application', 'web applications']",['integration'],1,telecomunication
"['account management', 'automation', 'business', 'data', 'digital', 'digital transformation', 'landscape', 'regional sales', 'saas', 'sales', 'service', 'service delivery', 'technical sales', 'transformation']","['leadership', 'management']",0,sales
"['budgeting', 'data', 'data analysis', 'higher education', 'milestones', 'procurement', 'project documentation', 'project governance', 'resource management', 'resourcing', 'tracking', 'excel']","['governance', 'management', 'meeting', 'planning', 'scheduling']",1,telecomunication
"['customer experience', 'merchandising', 'sales', 'scale', 'visual merchandising']",['training and development'],0,retail & consumer products
"['business', 'change management', 'client services', 'data', 'go', 'hvac', 'project implementation', 'project management', 'sales', 'service', 'solution delivery', 'stakeholder management', 'ventilation', 'excel']","['customer service', 'data entry', 'management', 'timelines', 'writing']",0,administration & office support
"['application', 'bank reconciliations', 'finance', 'ledgers', 'sales', 'excel']",[],0,accounting
"['application', 'business', 'career development', 'cash handling', 'customer experience', 'drawing', 'e', 'fashion retail', 'merchandising', 'mobile', 'sales', 'service', 'succession planning', 'visual merchandising']","['customer service', 'leadership', 'management', 'planning', 'training and development']",0,retail & consumer products
"['accounts receivable', 'business', 'collections', 'credit control', 'finance']",[],0,accounting
"['bookkeeping', 'cash flows', 'myob', 'residential design', 'service', 'tracking']","['management', 'microsoft office', 'problem solving']",0,administration & office support
"['information architecture', 'security', 'software development', 'software documentation', 'systems integration', 'technical writing', 'tutorials', 'user interface']","['infrastructure', 'integration', 'microsoft office', 'writing']",1,telecomunication
"['business', 'business development', 'plumbing', 'sales', 'valves']",[],0,sales
"['business', 'c', 'finance', 'excel']",[],0,accounting
"['act', 'adobe creative suite', 'adobe flash', 'adobe indesign', 'application', 'automotive', 'automotive industry', 'business', 'career development', 'cms', 'customer experience', 'digital', 'digital design', 'finance', 'flash', 'graphic design', 'html5', 'material', 'print design', 'remuneration', 'service', 'wordpress']","['planning', 'social media']",1,telecomunication
"['billing', 'data', 'databases']",[],0,accounting
"['clinical assessments', 'dementia care', 'on-the-job training', 'registration', 'standard']",[],0,healthcare & medical
"['customer satisfaction', 'merchandising', 'sales', 'service', 'visual merchandising']","['customer service', 'meeting']",0,retail & consumer products
"['business', 'cobit', 'data', 'information integration', 'infrastructure architecture', 'security', 'sustainability', 'togaf']","['consulting', 'infrastructure', 'integration', 'planning']",1,telecomunication
"['empowerment', 'heart rate', 'sales', 'service', 'track']","['accountability', 'customer service', 'goal setting', 'innovation', 'operations', 'retail sales']",0,sales
"['customer experience', 'professional communication', 'sales', 'service']","['microsoft office', 'scheduling']",0,administration & office support
"['billing', 'business']",[],0,healthcare & medical
"['business', 'manufacturing', 'service']",['customer service'],0,sales
"['analytics', 'business', 'development planning', 'digital', 'digital media', 'google analytics', 'media strategy', 'mobile', 'perspective', 'social media marketing', 'video advertising']","['management', 'negotiation', 'planning', 'social media', 'time management']",0,"advertising, arts & media"
"['application', 'business', 'business process', 'business process improvement', 'process analysis', 'start process']",['articulation'],1,telecomunication
"['alm', 'application', 'qc', 'software testing', 'stakeholder management', 'system', 'system testing', 'test management', 'test planning', 'testing', 'testing framework']","['integration', 'management', 'planning']",1,telecomunication
"['credit control', 'property management', 'service', 'surveying', 'system', 'tax']","['customer service', 'management']",0,accounting
"['application', 'construction engineering', 'crm', 'residential construction', 'sales', 'sales process', 'trades', 'excel']",[],0,administration & office support
"['application', 'customer support', 'inventory', 'sales', 'service']",['customer service'],0,sales
"['dentistry', 'orthodontics', 'rehabilitation', 'service', 'standard']","['aesthetics', 'customer service', 'leadership', 'management', 'meeting']",0,healthcare & medical
"['business', 'chemical', 'chemical peels', 'hair removal', 'laser', 'laser hair removal', 'remuneration', 'sales', 'scheme', 'service', 'skin treatments', 'stock control']","['customer service', 'leadership', 'management', 'retail sales', 'self starter', 'training and development']",0,retail & consumer products
"['gps', 'pharmaceutical', 'pharmaceutical sales', 'sales', 'sales management', 'service', 'track']",['management'],0,healthcare & medical
"['dental surgery', 'surgery']",[],0,healthcare & medical
"['finance', 'reinsurance', 'trial balance', 'excel']","['microsoft office', 'operations', 'written communication']",0,accounting
"['cpr', 'customer satisfaction', 'flash', 'functional training', 'media strategy', 'registration']","['cleanliness', 'enthusiasm', 'first aid', 'goal oriented', 'innovation', 'social media']",0,sport & recreation
"['business', 'calculations', 'capital gains', 'capital gains tax', 'income tax', 'tax', 'tax return', 'vt']","['management', 'problem solving', 'writing']",0,accounting
"['audiology', 'cancer', 'medical', 'nursing', 'pathology', 'podiatry', 'psychology', 'remuneration']",['consulting'],0,healthcare & medical
"['act', 'application', 'java', 'linux', 'scrum', 'security', 'software development']",[],1,telecomunication
"['act', 'business', 'data', 'e-commerce', 'erp', 'finance', 'inventory', 'inventory analysis', 'inventory control', 'mitigation', 'process improvements', 'sales']","['management', 'social media']",0,retail & consumer products
"['business', 'data', 'digital', 'digital advertising', 'digital marketing', 'digital media', 'digital sales', 'finance', 'retargeting', 'sales', 'service']",[],0,"advertising, arts & media"
"['business', 'career development']",[],0,retail & consumer products
"['analytics', 'application', 'business', 'contact centre', 'financial services', 'go', 'mapping', 'project management', 'prototype', 'psychology', 'quantitative research', 'service', 'service design', 'system', 'excel']","['collaboration', 'leadership', 'management', 'microsoft office', 'research']",0,marketing
"['architectural design', 'collections', 'furnishing', 'sales', 'service', 'track', 'excel']","['customer service', 'management', 'time management']",0,sales
"['biotechnology', 'business', 'business development', 'medical', 'medical devices', 'medical sales', 'medicine', 'nursing', 'pharmaceutical', 'research and development', 'sales', 'service']","['customer service', 'management', 'meeting', 'planning', 'research']",0,sales
"['business', 'manufacturing', 'public transport', 'sales', 'service', 'tooling']",['customer service'],0,retail & consumer products
"['agility', 'anatomy', 'business', 'device', 'medical', 'medical sales', 'physiology', 'sales']","['accountability', 'meeting']",0,healthcare & medical
"['business', 'data', 'machine learning', 'r', 'sas', 'modelling']",[],1,telecomunication
"['act', 'chemical', 'child protection', 'employee benefits', 'enclosure', 'filtration', 'hygiene', 'medical', 'pools', 'public relations', 'random testing', 'risk management', 'security', 'service', 'swim coaching', 'testing', 'water quality', 'working with children']","['cleanliness', 'coordinating', 'customer service', 'first aid', 'management', 'operations', 'swimming']",0,sport & recreation
"['algorithms', 'application', 'business', 'digital', 'organic search', 'ping', 'tournaments']",['collaboration'],0,marketing
"['application', 'care planning', 'case management', 'clinical leadership', 'community health', 'discharge planning', 'mental health', 'mental health assessments', 'mental health nursing', 'nursing', 'palliative care', 'risk management', 'service', 'system', 'triage']","['decision making', 'leadership', 'management', 'planning', 'research']",0,healthcare & medical
"['business', 'commercial finance', 'finance', 'networking', 'sales', 'system', 'track', 'excel']","['enthusiasm', 'leadership', 'operations', 'planning']",0,accounting
"['account management', 'business', 'business development', 'cold calling', 'industrial gases', 'market share', 'networking', 'new business development', 'sales', 'service']","['communications', 'customer service', 'hospitality', 'management']",0,sales
"['business', 'crm', 'data', 'data extraction', 'data integrity', 'macros', 'sales', 'scheme', 'system', 'excel', 'salesforce']",['willingness to learn'],0,sales
['business'],"['numbers', 'sorting']",0,accounting
['excel'],[],1,telecomunication
"['api', 'automation', 'big data', 'business', 'data', 'digital', 'financial services', 'full stack', 'gap analysis', 'git', 'jira', 'product management', 'requirements analysis', 'security', 'software development', 'software development life cycle', 'talent management', 'test case', 'testing', 'tooling', 'aws', 'excel']","['collaboration', 'influencing skills', 'leadership', 'management', 'operations']",1,telecomunication
"['budgeting', 'community education', 'dispute resolution', 'family support', 'legislation', 'perm', 'reconciliation', 'service', 'taxable income', 'travel insurance', 'working with children']","['presentations', 'professionalism']",0,healthcare & medical
"['accruals', 'balance sheet', 'budgeting', 'journals', 'excel']",['management'],0,accounting
"['business', 'email management', 'net', 'professional services', 'service', 'system', 'track', 'tracking', 'workflow management']","['customer service', 'management', 'meeting', 'microsoft office', 'scheduling', 'time management', 'training and development', 'written communication']",0,administration & office support
"['big data', 'corporate services', 'data', 'data ingestion', 'hdfs', 'hive', 'informatica', 'linux', 'mapreduce', 'message broker', 'nosql', 'python', 'real time data', 'sales', 'scala', 'scripting', 'spark streaming', 'sqoop', 'hbase']",['writing'],1,telecomunication
"['business', 'digital', 'digital marketing', 'digital sales', 'sales']",[],0,sales
"['angiography', 'radiography', 'registration']","['management', 'organizational skills']",0,healthcare & medical
"['analytics', 'google analytics', 'social media campaigns']",['social media'],0,marketing
"['bitbucket', 'cardiology', 'continuous delivery', 'css', 'dotnet', 'git', 'javascript', 'jira', 'json', 'medical', 'octopus deploy', 'server', 'service', 'software development', 'sql', 'ssis', 'telerik', 'web services', 'windows', 'windows forms', 'workflows']",['troubleshooting'],1,telecomunication
"['chef', 'less', 'sales', 'service', 'solar energy']","['customer service', 'hospitality']",0,retail & consumer products
"['ansible', 'business', 'business requirements', 'financial services', 'gtm', 'networking', 'ospf', 'security', 'service', 'services sectors', 'systems thinking']","['communications', 'consulting', 'customer service', 'management', 'operations']",1,telecomunication
"['business', 'business development', 'crm', 'hubspot', 'kpis', 'lead generation', 'networking', 'property maintenance', 'property management', 'sales', 'service']","['management', 'microsoft office', 'real estate', 'self starter', 'time management']",0,sales
"['cultural diversity', 'justice', 'medical', 'mental health', 'peer support', 'service', 'service planning', 'triage', 'working with children']","['planning', 'research']",0,healthcare & medical
"['act', 'child protection', 'cultural diversity', 'diversity and inclusion', 'empowerment', 'go', 'information systems', 'less', 'midwifery', 'nursing', 'nursing care', 'pathology', 'registration', 'remuneration', 'requisition', 'testing', 'vaccination', 'working with children']","['accountability', 'collaboration', 'computer literacy', 'critical thinking', 'literacy', 'written communication']",0,healthcare & medical
"['accruals', 'go', 'prepayment', 'reconciliation', 'excel']","['communications', 'management']",0,accounting
"['business', 'device', 'market share', 'medical', 'medical device sales', 'medical equipment', 'nursing', 'remuneration', 'sales', 'surgical procedures']","['teaching', 'troubleshooting']",0,healthcare & medical
"['act', 'e', 'gps', 'medical', 'nursing', 'remuneration', 'service', 'stock management']","['leadership', 'management', 'professionalism', 'verbal communication skills']",0,healthcare & medical
"['ai', 'angular', 'big data', 'business', 'cloud infrastructure', 'css', 'data', 'dotnet', 'entity framework', 'financial software', 'front end', 'full stack', 'git', 'html', 'javascript', 'machine learning', 'oop', 'react', 'server', 'software design', 'tdd', 'web applications', 'aws', 'azure']","['infrastructure', 'written communication']",1,telecomunication
['bookkeeping'],['management'],0,accounting
"['business', 'sales', 'service', 'track', 'vm']","['customer service', 'management', 'retail sales']",0,retail & consumer products
"['codebase', 'construction engineering', 'data', 'extended reality', 'graphics', 'mobile', 'scale', 'systems development', 'testing', 'unity', 'unreal engine', 'aws', 'azure']",['research'],1,telecomunication
"['application', 'business', 'business development', 'business to business', 'finance', 'pharmaceuticals', 'sales', 'service']",['customer service'],1,telecomunication
"['business', 'business development', 'business requirements', 'cold calling', 'mobile', 'online advertising', 'sales', 'stakeholder management', 'tourism', 'track', 'vehicle']","['hospitality', 'management', 'verbal communication skills']",0,sales
"['adobe indesign', 'advertisement', 'booking', 'business', 'general administrative support', 'professional services']",['consulting'],0,administration & office support
"['business', 'customer experience', 'new media', 'sales', 'service']",['problem solving'],0,"advertising, arts & media"
